Date,Time,WESTMEAD CO 1h average [ppb],WESTMEAD HUMID 1h average [%],WESTMEAD NEPH 1h average [bsp],WESTMEAD NO 1h average [ppb],WESTMEAD NO2 1h average [ppb],WESTMEAD NOX 1h average [ppb],WESTMEAD OZONE 1h average [ppb],WESTMEAD PM10 1h average [ug/m3],WESTMEAD SD1 1h average [degr],WESTMEAD SO2 1h average [ppb],WESTMEAD SOLAR 1h average [W/m2],WESTMEAD TEMP 1h average [degrC],WESTMEAD WDR 1h average [degr],WESTMEAD WSP 1h average [m/s]
16/04/2012,1:00,809.97,89.49,0.99,25.34,17.77,43.07,-0.30,40.56,24.88,0.01,9.59,16.39,7.76,0.45
16/04/2012,2:00,,88.93,1.13,,,,,34.91,52.62,,9.79,15.96,353.85,0.28
16/04/2012,3:00,604.78,86.32,0.81,16.00,14.94,30.85,0.01,24.59,61.96,0.61,8.37,15.65,5.30,0.37
16/04/2012,4:00,602.77,88.70,0.71,16.84,13.03,29.80,-0.29,28.17,35.10,0.65,8.74,14.62,7.64,0.51
16/04/2012,5:00,508.69,90.38,0.58,25.87,13.17,39.03,-0.29,20.62,37.12,0.89,9.92,14.38,359.28,0.51
16/04/2012,6:00,592.78,91.18,0.75,55.63,11.87,67.64,-0.26,28.03,29.36,1.50,8.49,13.97,356.80,0.36
16/04/2012,7:00,777.80,93.24,0.74,107.73,12.63,120.74,-0.25,34.31,31.30,2.10,34.53,13.64,342.85,0.43
16/04/2012,8:00,899.80,83.35,0.52,122.37,20.31,143.05,-0.02,33.45,34.67,3.10,152.14,15.86,318.39,0.57
16/04/2012,9:00,559.26,60.64,0.36,41.86,20.67,62.50,2.49,28.22,58.49,1.99,353.58,19.23,290.84,0.47
16/04/2012,10:00,367.71,51.44,0.27,17.74,19.10,36.71,7.33,25.42,96.05,1.27,329.14,20.61,115.00,0.05
16/04/2012,11:00,339.73,44.78,0.24,15.15,18.70,33.72,12.92,24.93,82.79,1.39,654.57,22.90,143.80,0.33
16/04/2012,12:00,320.15,42.18,0.20,11.57,17.97,29.39,16.38,22.68,62.18,1.53,671.50,24.11,161.01,0.82
16/04/2012,13:00,217.71,41.34,0.13,2.56,6.27,8.78,28.83,17.34,39.06,0.89,636.65,24.38,162.36,1.90
16/04/2012,14:00,163.85,40.80,0.10,0.43,3.49,3.88,32.08,14.00,37.91,0.31,518.46,23.91,161.60,2.12
16/04/2012,15:00,170.39,37.45,0.11,0.56,4.11,4.63,30.38,13.96,30.91,0.24,445.57,23.84,148.04,2.25
16/04/2012,16:00,183.45,38.97,0.11,0.85,5.36,6.15,28.83,18.44,30.17,0.19,322.02,23.54,150.65,2.18
16/04/2012,17:00,215.87,48.94,0.12,0.40,6.68,7.01,27.11,19.29,28.95,0.36,95.77,22.24,157.32,2.07
16/04/2012,18:00,286.73,58.63,0.15,0.34,12.90,13.10,20.85,19.65,31.17,0.29,12.79,20.87,168.46,1.43
16/04/2012,19:00,292.25,70.14,0.17,-0.40,15.69,15.12,14.99,17.82,27.83,0.54,6.43,19.57,198.71,0.82
16/04/2012,20:00,294.58,78.67,0.25,0.28,23.11,23.13,6.38,19.70,42.52,0.77,7.77,18.39,201.11,0.53
16/04/2012,21:00,293.28,78.73,0.22,-0.03,21.09,20.83,6.73,16.04,40.76,0.44,7.61,18.17,198.41,0.56
16/04/2012,22:00,320.41,77.52,0.21,-0.22,20.60,20.15,6.94,15.43,40.00,0.89,8.42,17.89,207.64,0.73
16/04/2012,23:00,260.19,76.54,0.21,-0.05,21.77,21.48,5.40,14.77,39.01,1.17,7.58,17.88,200.89,1.00
16/04/2012,24:00:00,215.64,76.61,0.27,-0.55,12.66,11.96,13.27,13.87,48.55,0.47,8.05,17.51,218.08,0.71
17/04/2012,1:00,158.32,75.71,0.20,-0.40,10.04,9.53,16.05,13.31,42.79,-0.17,8.21,17.25,221.55,0.73
17/04/2012,2:00,,75.15,0.19,,,,,12.79,41.59,,8.17,16.91,229.28,0.74
17/04/2012,3:00,128.32,75.95,0.19,-0.24,8.76,8.39,13.18,11.83,48.99,0.14,8.07,16.39,226.50,0.81
17/04/2012,4:00,133.97,73.58,0.19,-0.51,7.08,6.46,18.81,13.01,41.14,0.11,8.98,16.55,225.52,0.87
17/04/2012,5:00,134.25,73.98,0.21,-0.55,6.73,6.07,20.11,14.85,53.53,0.06,9.41,16.60,238.85,0.58
17/04/2012,6:00,159.75,74.45,0.24,-0.67,9.82,9.00,17.47,16.07,49.71,-0.09,8.56,16.91,239.64,0.56
17/04/2012,7:00,227.29,74.64,0.28,-0.31,17.71,17.13,11.30,19.53,49.21,0.18,10.50,17.32,221.63,0.98
17/04/2012,8:00,272.65,84.62,0.35,0.55,18.00,18.28,12.25,20.18,53.35,0.13,29.49,17.25,222.16,0.83
17/04/2012,9:00,271.82,87.47,0.34,1.03,15.24,16.04,14.33,18.92,50.60,0.18,45.39,17.43,195.71,0.96
17/04/2012,10:00,254.88,92.70,0.29,1.65,14.60,16.04,12.53,15.41,45.49,0.41,75.25,17.21,195.28,0.99
17/04/2012,11:00,215.98,92.47,0.20,3.78,12.02,15.65,13.02,11.88,113.47,0.00,252.70,18.37,336.14,0.46
17/04/2012,12:00,215.36,84.87,0.18,3.52,8.36,11.78,16.38,12.58,38.91,-0.04,292.34,19.76,1.06,2.76
17/04/2012,13:00,221.11,90.04,0.10,0.61,9.64,10.10,16.52,8.11,48.54,-0.07,52.25,18.13,40.13,2.72
17/04/2012,14:00,235.52,93.46,0.09,1.30,12.47,13.59,15.08,4.51,56.50,0.20,77.71,17.64,8.27,2.57
17/04/2012,15:00,289.20,93.69,0.15,3.86,17.28,20.90,8.98,10.29,46.15,0.12,83.96,18.08,8.60,3.22
17/04/2012,16:00,211.96,84.02,0.12,1.54,10.12,11.52,14.52,9.47,31.05,0.17,81.29,18.97,5.32,2.94
17/04/2012,17:00,287.92,87.77,0.07,1.62,16.04,17.42,10.53,8.47,77.64,-0.03,27.36,18.15,14.95,2.28
17/04/2012,18:00,380.17,93.02,0.08,3.25,19.41,22.38,5.40,7.24,49.35,0.30,11.92,17.38,140.31,1.10
17/04/2012,19:00,301.73,94.56,0.10,0.44,18.55,18.70,5.67,8.59,59.01,-0.09,11.12,17.20,189.64,0.44
17/04/2012,20:00,277.39,95.32,0.13,0.34,19.24,19.30,3.39,8.09,38.76,-0.03,11.05,17.15,190.20,0.72
17/04/2012,21:00,306.44,95.68,0.16,0.91,20.22,20.82,1.14,7.63,58.57,-0.04,11.18,17.17,174.61,0.31
17/04/2012,22:00,315.80,95.93,0.15,2.53,20.65,22.88,-0.03,7.12,58.17,-0.11,10.65,17.15,199.42,0.40
17/04/2012,23:00,293.57,96.25,0.11,5.81,19.06,24.62,0.84,4.92,81.93,-0.06,11.27,17.08,301.75,0.67
17/04/2012,24:00:00,202.18,96.33,0.04,0.95,15.32,16.04,3.31,6.23,62.71,-0.04,10.77,16.85,1.31,0.56
18/04/2012,1:00,239.01,96.39,0.07,0.23,15.41,15.41,1.38,5.05,82.27,0.24,10.34,16.59,159.76,0.12
18/04/2012,2:00,,96.61,0.12,,,,,4.10,82.58,,9.99,16.48,240.29,0.16
18/04/2012,3:00,250.89,96.85,0.10,3.22,17.58,20.61,0.63,7.21,90.28,0.27,11.16,16.86,240.11,0.12
18/04/2012,4:00,242.60,96.93,0.10,1.77,16.19,17.78,1.88,7.98,106.32,0.12,10.86,17.11,340.44,0.24
