Date,Time,WESTMEAD CO 1h average [ppb],WESTMEAD HUMID 1h average [%],WESTMEAD NEPH 1h average [bsp],WESTMEAD NO 1h average [ppb],WESTMEAD NO2 1h average [ppb],WESTMEAD NOX 1h average [ppb],WESTMEAD OZONE 1h average [ppb],WESTMEAD PM10 1h average [ug/m3],WESTMEAD SD1 1h average [degr],WESTMEAD SO2 1h average [ppb],WESTMEAD SOLAR 1h average [W/m2],WESTMEAD TEMP 1h average [degrC],WESTMEAD WDR 1h average [degr],WESTMEAD WSP 1h average [m/s]
18/04/2012,5:00,218.43,96.95,0.16,1.55,15.30,16.67,2.96,8.08,54.10,0.22,10.25,17.12,311.93,0.58
18/04/2012,6:00,219.26,97.02,0.14,3.85,17.37,21.03,0.97,6.93,92.04,0.09,11.18,17.17,209.45,0.13
18/04/2012,7:00,391.45,97.10,0.18,42.85,19.07,62.01,-0.24,11.77,89.19,0.52,12.41,17.10,21.58,0.21
18/04/2012,8:00,301.46,95.70,0.10,16.58,13.93,30.46,8.79,8.77,75.75,0.24,19.81,17.26,83.86,1.20
18/04/2012,9:00,244.72,95.84,0.08,0.55,13.94,14.32,10.04,7.57,80.43,-0.04,26.66,17.21,227.76,0.15
18/04/2012,10:00,298.53,96.52,0.07,2.77,17.51,20.09,8.00,6.81,49.21,0.19,108.85,17.44,188.28,0.51
18/04/2012,11:00,357.02,95.94,0.10,14.92,19.13,33.92,8.32,7.90,35.55,1.40,263.66,18.50,187.63,1.02
18/04/2012,12:00,345.74,94.92,0.09,8.57,18.55,26.96,7.44,6.71,46.14,1.04,150.79,18.98,184.17,0.68
18/04/2012,13:00,403.80,94.24,0.14,13.23,20.89,33.96,4.91,7.93,41.70,0.53,117.71,19.35,169.10,0.99
18/04/2012,14:00,303.17,94.18,0.13,3.35,15.17,18.37,7.22,8.84,100.94,0.29,24.16,18.74,77.82,0.33
18/04/2012,15:00,246.53,96.56,0.04,0.50,8.35,8.74,18.04,3.58,76.67,-0.02,80.33,18.08,160.11,0.42
18/04/2012,16:00,293.02,96.85,0.08,3.03,13.54,16.42,8.88,4.65,90.31,0.02,32.39,18.41,45.38,0.65
18/04/2012,17:00,240.27,96.00,0.11,0.46,10.30,10.63,18.07,5.96,30.50,0.10,26.38,17.87,84.53,1.28
18/04/2012,18:00,401.74,95.94,0.10,1.39,17.99,19.17,9.15,7.45,70.86,0.24,11.81,17.73,120.76,0.45
18/04/2012,19:00,421.77,96.62,0.12,3.56,25.05,28.33,1.72,9.21,29.21,0.27,10.64,17.84,138.18,1.22
18/04/2012,20:00,296.34,96.84,0.09,1.32,17.37,18.49,7.86,7.08,21.09,0.74,11.04,17.82,120.66,1.50
18/04/2012,21:00,218.32,96.79,0.11,-0.21,12.30,11.93,15.05,7.01,25.06,0.17,11.53,17.79,146.42,1.01
18/04/2012,22:00,251.37,97.03,0.12,-0.22,15.11,14.70,10.92,8.30,15.02,0.26,10.68,17.99,130.63,1.26
18/04/2012,23:00,225.02,97.09,0.18,-0.17,14.21,13.86,10.89,6.37,48.40,0.17,11.02,17.88,169.49,0.44
18/04/2012,24:00:00,326.98,97.15,0.18,1.19,22.11,23.04,1.39,7.74,92.57,0.23,10.87,17.65,179.73,0.18
19/04/2012,1:00,375.45,97.22,0.16,3.65,21.29,24.71,-0.23,8.17,99.25,0.21,11.14,17.63,10.45,0.04
19/04/2012,2:00,,97.26,0.14,,,,,5.86,89.73,,11.11,17.61,39.48,0.09
19/04/2012,3:00,432.78,97.31,0.27,8.50,17.53,25.87,0.14,4.01,94.68,0.12,11.27,17.41,310.48,0.02
19/04/2012,4:00,474.45,97.36,0.16,14.06,16.33,30.30,-0.21,6.03,58.23,0.20,10.44,17.30,74.05,0.20
19/04/2012,5:00,468.44,97.38,0.17,18.65,14.88,33.50,-0.21,8.96,109.27,0.18,10.80,17.35,103.86,0.06
19/04/2012,6:00,441.21,97.40,0.17,26.07,14.46,40.58,-0.20,7.44,100.85,0.23,10.74,17.23,162.27,0.07
19/04/2012,7:00,370.01,97.45,0.14,13.24,14.21,27.38,-0.09,6.75,72.15,0.00,15.71,17.02,178.61,0.19
19/04/2012,8:00,478.19,97.57,0.26,24.77,15.39,40.18,1.55,11.82,80.96,0.14,146.76,18.00,89.39,0.15
19/04/2012,9:00,414.44,96.62,0.19,18.64,18.74,37.30,5.59,11.16,81.68,1.80,310.73,19.57,293.72,0.18
19/04/2012,10:00,353.40,88.73,0.19,9.62,18.87,28.31,8.55,10.48,50.85,1.82,196.61,20.24,318.86,0.64
19/04/2012,11:00,301.21,82.18,0.25,5.72,14.27,19.85,12.66,12.66,28.92,0.78,304.50,20.96,307.55,0.92
19/04/2012,12:00,248.38,77.51,0.25,4.30,8.22,12.45,17.50,8.67,33.63,1.12,660.76,22.03,315.37,1.30
19/04/2012,13:00,231.20,70.31,0.22,2.50,6.02,8.46,25.16,7.47,85.32,0.79,506.75,23.16,326.03,0.45
19/04/2012,14:00,256.24,82.66,0.21,0.68,5.03,5.65,23.01,8.67,51.18,0.30,306.87,22.09,185.40,0.40
19/04/2012,15:00,297.86,75.72,0.20,2.39,13.36,15.59,20.67,12.63,37.72,1.74,168.85,22.38,117.40,1.17
19/04/2012,16:00,275.33,77.18,0.15,2.36,9.54,11.79,20.49,13.97,22.91,-0.08,179.22,22.23,110.74,1.93
19/04/2012,17:00,304.48,85.73,0.16,1.54,13.28,14.66,15.13,14.17,19.00,-0.26,54.48,20.87,124.43,1.87
19/04/2012,18:00,469.94,87.86,0.16,5.52,23.48,28.73,4.97,12.91,25.52,0.20,11.74,20.20,137.46,1.24
19/04/2012,19:00,509.31,91.42,0.15,7.44,26.14,33.29,0.71,10.70,44.55,0.71,10.31,19.74,130.07,1.03
19/04/2012,20:00,438.10,92.39,0.17,3.99,23.08,26.80,1.91,10.34,27.89,0.72,9.45,19.44,122.40,1.06
19/04/2012,21:00,351.60,91.99,0.19,0.95,19.01,19.71,5.23,11.26,49.59,0.62,9.68,19.37,144.31,0.86
19/04/2012,22:00,299.88,92.34,0.15,-0.05,15.35,15.10,7.02,8.59,52.10,-0.21,9.98,19.21,173.48,0.42
19/04/2012,23:00,319.42,92.65,0.16,0.26,16.08,16.13,3.21,9.92,113.08,-0.23,10.03,18.98,81.19,0.17
19/04/2012,24:00:00,346.50,94.33,0.27,1.35,15.50,16.65,0.39,11.64,70.29,-0.30,10.55,18.61,9.30,0.16
20/04/2012,1:00,383.24,95.40,0.20,8.29,14.07,22.24,-0.20,10.94,54.52,-0.19,10.37,18.47,306.07,0.33
20/04/2012,2:00,,95.85,0.31,,,,,11.13,56.07,,10.86,18.30,294.60,0.22
20/04/2012,3:00,336.84,96.01,0.42,11.04,15.41,26.31,0.13,12.35,22.15,0.23,10.33,18.11,331.68,0.62
20/04/2012,4:00,291.98,96.02,0.54,7.24,14.62,21.72,-0.06,13.47,23.62,0.30,9.94,17.93,324.29,0.69
20/04/2012,5:00,251.81,95.96,0.69,4.40,13.96,18.21,0.02,13.21,28.97,0.49,10.29,17.72,328.88,0.70
20/04/2012,6:00,257.84,96.02,0.66,13.46,11.37,24.77,-0.24,9.86,87.76,0.21,9.65,16.96,129.69,0.22
20/04/2012,7:00,354.09,96.51,0.57,32.99,9.28,42.36,-0.21,14.59,36.93,0.35,16.74,16.67,348.30,0.63
20/04/2012,8:00,462.70,96.90,0.65,35.87,13.83,49.74,0.90,17.62,26.35,0.79,84.05,17.32,337.74,1.10
20/04/2012,9:00,316.41,95.71,0.72,8.67,11.93,20.50,5.49,13.03,58.33,0.39,268.60,18.67,280.39,0.41
20/04/2012,10:00,309.38,84.41,0.45,9.09,11.25,20.25,8.57,12.10,47.15,0.52,234.49,20.31,289.06,0.64
20/04/2012,11:00,278.51,71.10,0.26,6.10,8.06,14.10,13.15,11.75,59.51,0.54,672.44,22.72,321.30,0.76
20/04/2012,12:00,281.86,64.03,0.18,4.73,8.15,12.80,16.65,7.91,65.89,0.83,580.08,24.27,322.53,0.63
20/04/2012,13:00,276.60,59.29,0.16,2.77,8.59,11.28,20.40,10.37,63.75,1.00,543.75,25.46,304.71,0.54
20/04/2012,14:00,246.01,47.86,0.13,1.95,8.03,9.90,29.27,8.63,76.31,0.39,527.13,26.65,120.34,0.48
20/04/2012,15:00,243.80,50.17,0.15,0.72,7.62,8.25,32.79,17.70,53.51,0.18,326.90,26.28,95.20,1.02
20/04/2012,16:00,309.47,61.13,0.23,0.64,9.52,10.04,39.74,19.15,27.73,0.55,292.38,25.73,84.96,1.85
20/04/2012,17:00,340.97,65.99,0.25,0.18,12.43,12.46,35.04,19.64,25.70,0.89,66.38,24.54,64.92,1.66
20/04/2012,18:00,386.63,76.13,0.29,0.05,15.33,15.18,23.42,19.37,31.51,0.83,11.99,22.78,83.98,1.26
20/04/2012,19:00,357.29,81.23,0.30,-0.52,15.32,14.60,20.42,16.36,90.10,0.74,9.08,21.69,64.39,0.32
20/04/2012,20:00,365.57,84.02,0.30,-0.67,16.95,16.06,14.36,17.67,88.74,0.23,9.00,21.08,79.82,0.09
20/04/2012,21:00,347.21,83.25,0.33,-0.32,20.16,19.58,8.58,18.35,72.04,1.76,9.45,21.18,107.10,0.50
20/04/2012,22:00,393.65,87.16,0.36,1.27,23.16,24.15,0.99,19.38,75.32,2.13,9.66,20.67,147.25,0.27
20/04/2012,23:00,362.79,91.76,0.38,2.75,19.10,21.63,0.03,18.25,73.24,1.41,10.34,20.00,328.63,0.17
20/04/2012,24:00:00,493.14,93.52,0.42,16.87,16.69,33.45,-0.25,16.01,69.09,1.14,9.90,19.30,27.07,0.20
21/04/2012,1:00,593.96,94.86,0.41,25.91,11.26,37.19,-0.26,15.97,34.42,1.00,9.08,18.39,356.04,0.36
21/04/2012,2:00,,95.70,0.41,,,,,16.99,42.63,,9.36,17.63,347.49,0.40
21/04/2012,3:00,460.59,96.27,0.41,27.09,7.38,34.60,0.16,17.42,36.90,0.62,9.08,17.08,1.17,0.42
21/04/2012,4:00,482.79,96.61,0.45,28.81,7.12,36.07,-0.15,19.36,40.42,0.35,9.22,16.73,5.17,0.44
21/04/2012,5:00,489.05,96.74,0.54,27.45,7.28,34.86,-0.20,19.30,43.39,0.41,9.25,16.45,8.49,0.36
21/04/2012,6:00,488.99,96.91,0.56,29.25,6.06,35.46,-0.17,19.18,45.45,0.39,9.06,16.20,347.82,0.39
21/04/2012,7:00,581.91,97.08,0.66,43.82,6.32,50.38,-0.14,21.82,28.01,0.74,23.00,16.16,352.96,0.43
21/04/2012,8:00,664.17,97.21,0.82,57.55,7.97,65.85,0.00,27.13,57.01,0.98,61.90,16.91,351.71,0.22
21/04/2012,9:00,660.53,97.07,1.12,48.51,13.64,62.37,0.38,28.69,28.61,1.07,139.23,18.03,317.80,0.51
21/04/2012,10:00,579.94,92.73,1.03,31.52,15.80,47.41,2.16,24.60,72.77,1.42,249.12,19.47,311.99,0.36
21/04/2012,11:00,327.03,77.40,0.49,4.77,9.51,14.24,13.97,17.81,69.30,1.20,439.37,21.46,124.86,0.65
21/04/2012,12:00,353.87,72.30,0.44,4.32,10.50,14.77,20.01,17.47,33.53,1.78,492.78,22.17,127.24,1.60
21/04/2012,13:00,320.97,64.92,0.42,1.80,5.64,7.42,31.19,18.28,75.87,1.30,627.49,23.76,125.99,0.68
21/04/2012,14:00,277.31,58.89,0.34,0.91,5.39,6.26,39.42,18.60,86.25,3.19,563.87,24.53,222.15,0.98
21/04/2012,15:00,295.39,61.89,0.38,0.82,6.71,7.48,38.46,26.07,23.19,4.42,378.57,24.16,252.24,3.10
21/04/2012,16:00,289.90,67.43,0.38,0.40,6.49,6.84,35.06,22.51,19.30,1.99,151.14,23.12,250.81,2.96
21/04/2012,17:00,292.92,71.81,0.39,0.36,8.02,8.33,27.58,22.09,18.89,1.40,58.97,22.36,254.85,3.47
21/04/2012,18:00,338.07,77.15,0.39,0.09,12.58,12.58,18.55,21.27,85.60,0.95,11.04,21.16,254.38,1.94
21/04/2012,19:00,399.90,84.49,0.45,0.08,17.95,17.90,8.94,20.94,50.83,0.43,9.09,20.01,174.07,0.40
21/04/2012,20:00,421.59,86.76,0.47,0.12,19.46,19.44,5.80,19.11,94.66,0.22,8.95,19.77,319.06,0.04
21/04/2012,21:00,593.11,92.08,0.61,11.89,18.52,30.36,0.93,23.85,44.45,0.18,9.68,18.64,339.57,0.31
21/04/2012,22:00,729.39,94.12,0.67,27.72,15.00,42.79,-0.16,22.46,24.72,0.57,9.41,18.06,4.96,0.45
21/04/2012,23:00,668.98,94.94,0.62,25.42,11.99,37.49,-0.16,21.92,28.55,0.68,9.26,17.33,7.82,0.45
21/04/2012,24:00:00,718.18,95.63,0.58,32.13,10.40,42.67,-0.18,18.22,36.84,0.48,8.79,16.77,354.16,0.42
22/04/2012,1:00,641.37,96.09,0.64,32.37,9.50,42.01,-0.18,20.82,28.89,0.09,8.90,16.23,334.38,0.41
22/04/2012,2:00,,96.49,0.75,,,,,21.87,26.67,,9.49,16.03,342.66,0.45
22/04/2012,3:00,626.58,96.85,1.13,18.91,13.53,32.44,0.07,20.09,26.83,0.31,10.00,16.29,337.54,0.50
22/04/2012,4:00,502.97,97.06,1.34,7.08,14.19,21.18,-0.04,15.43,37.08,0.23,10.49,16.24,351.43,0.45
22/04/2012,5:00,401.11,97.31,1.22,1.61,11.76,13.28,1.65,15.85,47.87,0.02,10.66,16.30,302.59,0.36
22/04/2012,6:00,369.83,97.40,1.32,0.09,10.04,10.03,3.15,13.51,50.43,0.03,10.54,16.30,311.66,0.40
22/04/2012,7:00,332.54,97.57,0.80,0.19,8.33,8.45,4.17,12.21,40.51,0.27,16.52,15.98,314.03,0.77
22/04/2012,8:00,251.90,97.70,0.47,0.24,4.05,4.26,7.47,10.35,25.88,0.27,66.89,15.71,327.62,1.07
22/04/2012,9:00,239.59,97.72,0.44,0.40,3.23,3.60,10.26,11.71,36.65,0.10,129.84,16.44,326.94,0.82
22/04/2012,10:00,228.47,97.35,0.53,0.50,3.13,3.60,15.78,9.87,38.72,0.36,266.00,17.54,319.62,0.93
22/04/2012,11:00,246.38,85.56,0.56,1.16,3.83,4.96,19.28,14.75,44.31,0.40,500.49,20.47,283.22,0.72
22/04/2012,12:00,274.55,73.42,0.50,1.00,4.48,5.44,23.05,15.44,39.81,0.53,396.37,22.67,301.87,0.74
22/04/2012,13:00,261.69,67.20,0.38,0.36,3.89,4.21,25.09,9.31,53.30,0.71,299.49,23.68,7.08,0.76
22/04/2012,14:00,260.66,65.84,0.34,0.19,3.70,3.86,24.15,11.48,35.74,0.50,215.32,23.86,327.94,0.83
22/04/2012,15:00,298.78,71.46,0.40,0.18,5.31,5.44,18.30,15.56,48.82,0.54,103.21,23.49,316.65,0.32
22/04/2012,16:00,375.99,79.47,0.54,0.52,9.59,10.02,9.96,17.42,30.86,0.48,45.81,22.24,272.90,0.37
22/04/2012,17:00,408.67,86.77,1.16,0.95,13.19,14.02,6.84,26.92,59.89,0.94,38.08,20.69,309.68,0.22
22/04/2012,18:00,517.50,90.15,1.17,5.21,17.06,22.14,1.78,27.80,32.40,0.84,11.03,20.19,5.03,0.58
22/04/2012,19:00,522.78,91.94,1.09,11.55,14.89,26.37,-0.22,27.51,43.29,0.66,10.35,19.85,345.63,0.29
22/04/2012,20:00,564.59,93.81,1.00,16.83,12.57,29.39,-0.27,27.35,85.28,0.47,10.29,19.45,223.08,0.09
22/04/2012,21:00,606.98,94.55,0.89,20.76,10.71,31.51,-0.27,25.49,71.92,0.60,10.34,19.07,352.07,0.19
22/04/2012,22:00,784.81,95.16,0.86,40.84,8.67,49.70,-0.27,27.23,42.97,0.83,9.51,18.47,12.86,0.25
22/04/2012,23:00,797.48,95.69,0.76,44.89,6.89,52.01,-0.27,25.49,37.25,0.77,9.45,17.91,336.01,0.35
22/04/2012,24:00:00,831.84,96.28,0.87,48.50,6.67,55.42,-0.20,25.72,32.40,0.89,9.39,17.69,356.44,0.49
23/04/2012,1:00,761.18,96.55,0.85,42.44,5.61,48.27,-0.24,25.38,36.66,1.05,10.30,17.58,349.04,0.39
23/04/2012,2:00,,96.69,0.96,,,,,24.08,66.13,,10.45,17.38,338.10,0.24
23/04/2012,3:00,741.31,96.95,1.07,45.91,5.52,51.63,0.12,23.34,67.33,0.87,10.23,17.69,346.38,0.32
23/04/2012,4:00,639.95,97.12,0.87,36.86,6.65,43.63,-0.27,20.20,69.95,0.45,10.26,17.85,317.76,0.34
23/04/2012,5:00,477.92,97.18,0.75,26.70,6.58,33.35,-0.28,17.51,61.54,0.34,9.88,18.00,225.65,0.20
23/04/2012,6:00,392.65,97.11,0.62,18.92,7.65,26.58,-0.52,16.60,49.17,0.05,10.42,17.98,320.68,0.97
23/04/2012,7:00,287.48,87.98,0.36,23.19,14.37,37.51,1.91,14.21,19.50,1.16,11.28,18.70,326.93,2.15
23/04/2012,8:00,274.67,86.87,0.23,3.76,13.59,17.20,4.94,11.72,20.31,0.57,23.64,18.48,322.11,1.79
23/04/2012,9:00,311.44,88.94,0.20,4.55,14.22,18.61,4.36,11.58,22.33,-0.01,49.51,18.28,329.66,1.78
23/04/2012,10:00,269.80,89.90,0.16,4.22,13.03,17.10,8.17,8.94,19.44,-0.15,62.77,18.15,332.09,2.48
23/04/2012,11:00,261.79,90.26,0.14,5.19,14.14,19.18,9.16,9.56,20.03,-0.33,89.24,18.28,338.50,2.40
23/04/2012,12:00,247.15,89.68,0.13,3.26,11.06,14.20,11.62,8.32,20.90,-0.53,93.64,18.43,342.74,2.47
23/04/2012,13:00,283.90,88.16,0.13,3.78,11.68,15.33,10.46,7.78,20.22,0.54,102.09,18.66,337.44,2.01
23/04/2012,14:00,258.98,84.92,0.11,2.78,8.79,11.47,12.70,5.10,21.34,-0.05,97.13,18.98,336.63,2.36
23/04/2012,15:00,255.39,84.44,0.11,5.08,11.46,16.42,10.84,7.87,18.33,-0.33,74.56,18.98,337.25,3.10
23/04/2012,16:00,258.62,83.13,0.11,6.97,12.42,19.28,9.05,5.25,23.63,-0.29,64.81,19.01,348.88,3.03
23/04/2012,17:00,265.47,79.37,0.10,4.51,11.58,15.96,9.68,9.34,24.06,-0.47,59.26,19.35,339.80,2.82
23/04/2012,18:00,261.12,79.18,0.11,2.82,11.53,14.22,9.69,8.89,22.87,-0.50,13.94,19.20,344.58,2.69
23/04/2012,19:00,244.89,80.02,0.11,1.47,9.93,11.28,10.50,10.40,44.65,-0.48,9.49,19.07,331.55,2.37
23/04/2012,20:00,206.47,78.59,0.10,0.95,7.76,8.61,12.32,8.70,37.30,-0.40,8.56,19.22,201.07,2.32
23/04/2012,21:00,183.63,79.54,0.10,0.54,6.36,6.82,12.73,7.30,23.14,-0.49,8.37,18.97,192.68,2.75
23/04/2012,22:00,187.18,81.76,0.10,0.10,5.20,5.23,12.85,6.85,13.94,-0.36,7.67,18.38,193.79,3.06
23/04/2012,23:00,183.56,82.23,0.09,0.08,4.91,4.92,13.28,7.13,22.90,-0.49,7.75,18.11,194.92,2.84
23/04/2012,24:00:00,175.46,86.22,0.10,-0.22,3.81,3.54,12.48,7.46,32.96,,8.20,17.24,188.61,3.85
24/04/2012,1:00,187.20,91.00,0.10,-0.11,4.81,4.64,8.46,7.02,55.90,,8.66,16.33,194.41,2.80
24/04/2012,2:00,,93.04,0.10,,,,,7.14,52.38,,9.29,15.62,288.48,0.50
24/04/2012,3:00,166.99,94.75,0.14,0.28,5.61,5.89,2.95,7.94,95.28,-0.15,9.15,15.00,241.49,0.11
24/04/2012,4:00,294.97,95.78,0.48,17.15,10.95,28.20,-0.01,8.38,89.24,0.08,10.71,14.40,336.23,0.22
24/04/2012,5:00,300.51,96.56,0.27,28.50,9.98,38.65,-0.25,6.51,36.34,0.84,9.35,13.92,345.33,0.55
24/04/2012,6:00,338.83,96.91,0.21,38.91,7.99,47.15,-0.20,11.10,49.43,0.98,9.54,13.52,344.03,0.36
24/04/2012,7:00,411.35,97.26,0.23,68.65,12.55,81.63,-0.16,16.00,30.41,1.45,18.75,14.46,320.51,0.75
24/04/2012,8:00,379.51,96.93,0.20,23.94,10.83,34.91,0.78,15.79,33.42,0.63,159.94,15.55,296.53,0.65
24/04/2012,9:00,339.70,81.90,0.14,14.65,9.94,24.68,4.30,8.66,31.66,1.62,323.48,18.00,306.71,1.11
